claim_id,claim_text,source_file,source_section,originating_run,original_locations,current_evidence_status,geography,confidence,freshness_or_review_date,material_to_historical_decision,evidence_type,supporting_source_ids,supporting_urls,audit_notes,unresolved_gap_id
HCR-0001,A prior evidence pack represented aggregators as roughly 75% of mobile orders in key UAE/Saudi ordering contexts and owned channels/call centers as roughly 25%.,working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,Evidence pack and gap register,2026-06-13-commercial-council-001,2026-06-13-commercial-council-001 | working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md | Evidence pack and gap register,STALE_OR_DATE_SENSITIVE,UAE/GCC,low,2026-06-19,yes,legacy vendor/secondary claim,,,The exact public source was not re-opened in this revision; do not reuse as a verified current market share.,GAP-AUD-001
HCR-0051,Deliverect says its Careem Express integration can connect Careem to an in-house order-management system and integrate online orders directly to the POS.,working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,VENDOR_CLAIM,UAE-relevant,high,2026-06-19,yes,official vendor integration page,REV-WEB-005,https://www.deliverect.com/en-ae/integrations/careem-express,Requires Careem Express and Deliverect subscriptions.,
HCR-0052,Deliverect says the Careem Express integration supports automated dispatch and real-time delivery tracking.,working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,VENDOR_CLAIM,UAE-relevant,high,2026-06-19,yes,official vendor integration page,REV-WEB-005,https://www.deliverect.com/en-ae/integrations/careem-express,Vendor claim; validate operational SLA separately.,
HCR-0053,"Deliverect describes more than 1000 integration partners across POS, marketplace, online ordering, on-site ordering, third-party dispatch, and loyalty/CRM categories.",working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,VENDOR_CLAIM,Global/UAE-relevant,medium,2026-06-19,yes,official vendor integration page,REV-WEB-005,https://www.deliverect.com/en-ae/integrations/careem-express,Broad vendor count; does not prove support for a specific restaurant's POS.,
HCR-0054,"Cloudflare Workers Paid plan has a $5 per month minimum and includes Workers, Pages Functions, KV, Hyperdrive, and Durable Objects usage.",working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,VERIFIED_FACT,Global,high,2026-06-19,yes,official pricing documentation,REV-WEB-002,https://developers.cloudflare.com/workers/platform/pricing/,Date-sensitive infrastructure cost.,
HCR-0055,Cloudflare Workers pricing documentation lists KV and D1 availability on Free and Paid plans with included limits.,working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,VERIFIED_FACT,Global,high,2026-06-19,yes,official pricing documentation,REV-WEB-002,https://developers.cloudflare.com/workers/platform/pricing/,Exact quota planning requires current page review.,
HCR-0056,"Cloudflare Durable Objects are available with Free and Paid Workers tiers, with separate request/duration/storage pricing details.",working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,VERIFIED_FACT,Global,high,2026-06-19,yes,official pricing documentation,REV-WEB-002,https://developers.cloudflare.com/workers/platform/pricing/,Architecture-dependent cost.,
HCR-0057,"OpenAI API pricing page displayed GPT-5.5 at $5.00 per 1M input tokens, $0.50 cached input, and $30.00 output.",working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,VERIFIED_FACT,Global,high,2026-06-19,yes,official pricing page,REV-WEB-003,https://openai.com/api/pricing/,Date-sensitive AI cost.,
HCR-0058,"OpenAI API pricing page displayed GPT-5.4 at $2.50 per 1M input tokens, $0.25 cached input, and $15.00 output.",working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,VERIFIED_FACT,Global,high,2026-06-19,yes,official pricing page,REV-WEB-003,https://openai.com/api/pricing/,Date-sensitive AI cost.,
HCR-0059,Exact UAE WhatsApp Business Platform pass-through rates were not verified from an inspectable public Meta page in this revision.,working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,UNRESOLVED_GAP,UAE,high,2026-06-19,yes,official docs access note,REV-WEB-012,https://developers.facebook.com/docs/whatsapp/pricing/,Resolve before quoting WhatsApp costs.,GAP-AUD-007
HCR-0060,"Provider CAC, onboarding labor, support load, churn, and margins for the proposed builder model remain unsupported by public evidence in this revision.",working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,Evidence pack and gap register,2026-06-13-commercial-council-001,2026-06-13-commercial-council-001 | working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md | Evidence pack and gap register,UNRESOLVED_GAP,UAE/GCC,high,2026-06-19,yes,gap finding,REV-WEB-011,https://chartmogul.com/reports/saas-retention-report/,Generic SaaS retention evidence is only a proxy.,GAP-AUD-003
HCR-0061,"Restaurant ROI and payback for the proposed direct-channel package remain unresolved because public evidence did not verify conversion, substitution, labor saving, or defect reduction assumptions.",working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo/NUMBER_LEDGER.md,Number ledger,2026-06-14-full-restaurant-roi-research-calculator-002A-redo,2026-06-14-full-restaurant-roi-research-calculator-002A-redo | working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo/NUMBER_LEDGER.md | Number ledger,UNRESOLVED_GAP,UAE/GCC,high,2026-06-19,yes,gap finding,,,Requires pilots or narrowly matched primary research.,GAP-AUD-002
HCR-0062,"Delivery-provider public pages inspected in this revision did not expose complete price, SLA-remedy, and liability terms.",working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,UNRESOLVED_GAP,UAE,high,2026-06-19,yes,gap finding,REV-WEB-004;REV-WEB-005,https://www.careem.com/en-AE/express/; https://www.deliverect.com/en-ae/integrations/careem-express,Vendor capability evidence exists; commercial/legal terms remain incomplete.,GAP-AUD-005
HCR-0063,UAE-relevant POS integration support is vendor-specific rather than universal.,working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,SUPPORTED_ESTIMATE,UAE/GCC,high,2026-06-19,yes,official vendor pages,REV-WEB-005;REV-WEB-006;REV-WEB-008,https://www.deliverect.com/en-ae/integrations/careem-express; https://www.foodics.com/pricing/; https://www.wix.com/restaurant/website,Matches historical decision not to promise universal POS integration.,GAP-AUD-006
HCR-0064,"Current competitor and freelancer pricing remains only partially verified: Wix, GloriaFood, and Foodics anchors were found, but cheap freelancer pricing and full UAE agency pricing were not verified.",working/council-runs/2026-06-14-pricing-and-commercial-justification-002C/COMPETITOR_LEDGER.md,Competitor ledger,2026-06-14-pricing-and-commercial-justification-002C,2026-06-14-pricing-and-commercial-justification-002C | working/council-runs/2026-06-14-pricing-and-commercial-justification-002C/COMPETITOR_LEDGER.md | Competitor ledger,UNRESOLVED_GAP,UAE/GCC/global,high,2026-06-19,yes,gap finding,REV-WEB-006;REV-WEB-009;REV-WEB-010,https://www.foodics.com/pricing/; https://www.wix.com/plans; https://www.gloriafood.com/pricing,Use verified anchors separately from unsupported cheap-freelancer claims.,GAP-AUD-004
HCR-0065,"Current domain, hosting, AI, payment, and WhatsApp costs remain partly verified: Stripe, Cloudflare, and OpenAI were verified; WhatsApp and domain/commodity hosting remain incomplete.",working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,UNRESOLVED_GAP,UAE/global,high,2026-06-19,yes,gap finding,REV-WEB-001;REV-WEB-002;REV-WEB-003;REV-WEB-012,https://stripe.com/ae/pricing; https://developers.cloudflare.com/workers/platform/pricing/; https://openai.com/api/pricing/; https://developers.facebook.com/docs/whatsapp/pricing/,Do not roll unresolved items into a verified monthly cost.,GAP-AUD-007
